ImageSize,Schedule,Threads,Sequential,Parallel,Speedup,Efficiency
256,static,1,0.0320001,0.02,1.6,160
256,static,2,0.0320001,0.013,2.46154,123.077
256,static,4,0.0320001,0.013,2.46154,61.5385
256,static,8,0.0320001,0.0119998,2.66671,33.3338
256,static,16,0.0320001,0.00800014,3.99994,24.9996
256,dynamic,1,0.0320001,0.0249999,1.28001,128.001
256,dynamic,2,0.0320001,0.027,1.18519,59.2595
256,dynamic,4,0.0320001,0.027,1.18519,29.6297
256,dynamic,8,0.0320001,0.023,1.39131,17.3913
256,dynamic,16,0.0320001,0.023,1.39131,8.69567
256,guided,1,0.0320001,0.02,1.6,160
256,guided,2,0.0320001,0.00999999,3.20001,160
256,guided,4,0.0320001,0.0109999,2.90912,72.728
256,guided,8,0.0320001,0.00900006,3.55554,44.4442
256,guided,16,0.0320001,0.00600004,5.33331,33.3332
512,static,1,0.115,0.092,1.25,125
512,static,2,0.115,0.0600002,1.91666,95.8331
512,static,4,0.115,0.0509999,2.25491,56.3727
512,static,8,0.115,0.0340002,3.38234,42.2792
512,static,16,0.115,0.0309999,3.70969,23.1856
512,dynamic,1,0.115,0.136,0.845587,84.5587
512,dynamic,2,0.115,0.0909998,1.26374,63.1869
512,dynamic,4,0.115,0.0990002,1.16161,29.0403
512,dynamic,8,0.115,0.0949998,1.21053,15.1316
512,dynamic,16,0.115,0.089,1.29214,8.07584
512,guided,1,0.115,0.138,0.833333,83.3333
512,guided,2,0.115,0.069,1.66667,83.3333
512,guided,4,0.115,0.05,2.3,57.5001
512,guided,8,0.115,0.029,3.96551,49.5689
512,guided,16,0.115,0.026,4.42307,27.6442
1024,static,1,0.522,0.376,1.3883,138.83
1024,static,2,0.522,0.239,2.1841,109.205
1024,static,4,0.522,0.202,2.58416,64.604
1024,static,8,0.522,0.131,3.98474,49.8092
1024,static,16,0.522,0.119,4.38656,27.416
1024,dynamic,1,0.522,0.462,1.12987,112.987
1024,dynamic,2,0.522,0.42,1.24286,62.1429
1024,dynamic,4,0.522,0.403,1.29529,32.3821
1024,dynamic,8,0.522,0.418,1.2488,15.6101
1024,dynamic,16,0.522,0.372,1.40323,8.77016
1024,guided,1,0.522,0.399,1.30827,130.827
1024,guided,2,0.522,0.221,2.36199,118.1
1024,guided,4,0.522,0.177,2.94915,73.7288
1024,guided,8,0.522,0.115,4.53913,56.7391
1024,guided,16,0.522,0.102,5.11765,31.9853
2048,static,1,2.665,1.641,1.62401,162.401
2048,static,2,2.665,0.965,2.76166,138.083
2048,static,4,2.665,0.74,3.60135,90.0338
2048,static,8,2.665,0.585,4.55556,56.9444
2048,static,16,2.665,0.472,5.64619,35.2887
2048,dynamic,1,2.665,1.865,1.42895,142.895
2048,dynamic,2,2.665,1.545,1.72492,86.2459
2048,dynamic,4,2.665,1.569,1.69853,42.4634
2048,dynamic,8,2.665,1.634,1.63097,20.3871
2048,dynamic,16,2.665,1.421,1.87544,11.7215
2048,guided,1,2.665,1.838,1.44995,144.995
2048,guided,2,2.665,1.034,2.57737,128.868
2048,guided,4,2.665,0.714,3.73249,93.3123
2048,guided,8,2.665,0.418,6.3756,79.695
2048,guided,16,2.665,0.421,6.33017,39.5635
4096,static,1,10.185,6.626,1.53713,153.713
4096,static,2,10.185,3.766,2.70446,135.223
4096,static,4,10.185,3.155,3.22821,80.7052
4096,static,8,10.185,2.391,4.25972,53.2465
4096,static,16,10.185,1.946,5.23381,32.7113
4096,dynamic,1,10.185,19.342,0.526574,52.6574
4096,dynamic,2,10.185,8.522,1.19514,59.7571
4096,dynamic,4,10.185,9.771,1.04237,26.0593
4096,dynamic,8,10.185,12.772,0.797448,9.96809
4096,dynamic,16,10.185,12.264,0.830479,5.1905
4096,guided,1,10.185,11.376,0.895306,89.5306
4096,guided,2,10.185,7.632,1.33451,66.7256
4096,guided,4,10.185,7.539,1.35097,33.7744
4096,guided,8,10.185,4.848,2.10087,26.2608
4096,guided,16,10.185,4.559,2.23404,13.9628
